,1,rbf,linear,poli
"(0, 1, 1)","(0, 1, 1.5)",0.96,0.96,0.975
"(0, 1, 1)","(0, 1, 2)",0.915,1.0,0.61
"(0, 1, 1)","(0, 3, 1)",1.0,1.0,1.0
"(0, 1, 1)","(0, 3, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(0, 3, 2)",0.735,1.0,0.52
"(0, 1, 1)","(0, 5, 1)",1.0,1.0,1.0
"(0, 1, 1)","(0, 5, 1.5)",1.0,1.0,0.995
"(0, 1, 1)","(0, 5, 2)",0.96,1.0,0.635
"(0, 1, 1)","(5, 1, 1)",1.0,1.0,1.0
"(0, 1, 1)","(5, 1, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(5, 1, 2)",0.905,1.0,0.55
"(0, 1, 1)","(5, 3, 1)",1.0,1.0,1.0
"(0, 1, 1)","(5, 3, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(5, 3, 2)",0.755,1.0,0.545
"(0, 1, 1)","(5, 5, 1)",1.0,1.0,1.0
"(0, 1, 1)","(5, 5, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(5, 5, 2)",0.58,1.0,0.515
"(0, 1, 1)","(10, 1, 1)",1.0,1.0,1.0
"(0, 1, 1)","(10, 1, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(10, 1, 2)",1.0,1.0,0.56
"(0, 1, 1)","(10, 3, 1)",1.0,1.0,1.0
"(0, 1, 1)","(10, 3, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(10, 3, 2)",1.0,1.0,0.685
"(0, 1, 1)","(10, 5, 1)",1.0,1.0,1.0
"(0, 1, 1)","(10, 5, 1.5)",1.0,1.0,1.0
"(0, 1, 1)","(10, 5, 2)",0.945,1.0,0.62
"(0, 1, 1.5)","(0, 1, 2)",0.865,0.975,0.61
"(0, 1, 1.5)","(0, 3, 1)",0.955,0.95,0.94
"(0, 1, 1.5)","(0, 3, 1.5)",0.99,0.99,0.98
"(0, 1, 1.5)","(0, 3, 2)",0.735,0.995,0.52
"(0, 1, 1.5)","(0, 5, 1)",0.995,0.99,0.99
"(0, 1, 1.5)","(0, 5, 1.5)",0.995,0.995,0.99
"(0, 1, 1.5)","(0, 5, 2)",0.94,1.0,0.635
"(0, 1, 1.5)","(5, 1, 1)",1.0,1.0,1.0
"(0, 1, 1.5)","(5, 1, 1.5)",1.0,1.0,1.0
"(0, 1, 1.5)","(5, 1, 2)",0.88,1.0,0.55
"(0, 1, 1.5)","(5, 3, 1)",1.0,1.0,1.0
"(0, 1, 1.5)","(5, 3, 1.5)",1.0,1.0,1.0
"(0, 1, 1.5)","(5, 3, 2)",0.75,1.0,0.545
"(0, 1, 1.5)","(5, 5, 1)",1.0,1.0,1.0
"(0, 1, 1.5)","(5, 5, 1.5)",1.0,1.0,1.0
"(0, 1, 1.5)","(5, 5, 2)",0.58,1.0,0.515
"(0, 1, 1.5)","(10, 1, 1)",1.0,1.0,1.0
"(0, 1, 1.5)","(10, 1, 1.5)",1.0,1.0,1.0
"(0, 1, 1.5)","(10, 1, 2)",1.0,1.0,0.56
"(0, 1, 1.5)","(10, 3, 1)",1.0,1.0,1.0
"(0, 1, 1.5)","(10, 3, 1.5)",1.0,1.0,1.0
"(0, 1, 1.5)","(10, 3, 2)",0.995,1.0,0.685
"(0, 1, 1.5)","(10, 5, 1)",1.0,1.0,1.0
"(0, 1, 1.5)","(10, 5, 1.5)",1.0,1.0,1.0
"(0, 1, 1.5)","(10, 5, 2)",0.945,1.0,0.62
"(0, 1, 2)","(0, 3, 1)",0.84,0.98,0.61
"(0, 1, 2)","(0, 3, 1.5)",0.755,0.77,0.605
"(0, 1, 2)","(0, 3, 2)",0.615,0.66,0.51
"(0, 1, 2)","(0, 5, 1)",0.78,0.865,0.61
"(0, 1, 2)","(0, 5, 1.5)",0.67,0.675,0.6
"(0, 1, 2)","(0, 5, 2)",0.735,0.765,0.585
"(0, 1, 2)","(5, 1, 1)",1.0,1.0,0.61
"(0, 1, 2)","(5, 1, 1.5)",1.0,1.0,0.61
"(0, 1, 2)","(5, 1, 2)",0.76,0.83,0.505
"(0, 1, 2)","(5, 3, 1)",1.0,1.0,0.61
"(0, 1, 2)","(5, 3, 1.5)",0.995,0.995,0.61
"(0, 1, 2)","(5, 3, 2)",0.63,0.875,0.525
"(0, 1, 2)","(5, 5, 1)",0.99,1.0,0.61
"(0, 1, 2)","(5, 5, 1.5)",0.945,0.975,0.605
"(0, 1, 2)","(5, 5, 2)",0.57,0.87,0.515
"(0, 1, 2)","(10, 1, 1)",1.0,1.0,0.62
"(0, 1, 2)","(10, 1, 1.5)",1.0,1.0,0.62
"(0, 1, 2)","(10, 1, 2)",0.94,0.96,0.515
"(0, 1, 2)","(10, 3, 1)",1.0,1.0,0.62
"(0, 1, 2)","(10, 3, 1.5)",1.0,1.0,0.61
"(0, 1, 2)","(10, 3, 2)",0.895,0.93,0.52
"(0, 1, 2)","(10, 5, 1)",1.0,1.0,0.615
"(0, 1, 2)","(10, 5, 1.5)",0.995,1.0,0.605
"(0, 1, 2)","(10, 5, 2)",0.805,0.92,0.54
"(0, 3, 1)","(0, 3, 1.5)",0.99,0.995,0.99
"(0, 3, 1)","(0, 3, 2)",0.735,1.0,0.52
"(0, 3, 1)","(0, 5, 1)",0.995,0.995,0.995
"(0, 3, 1)","(0, 5, 1.5)",0.995,1.0,0.995
"(0, 3, 1)","(0, 5, 2)",0.935,1.0,0.635
"(0, 3, 1)","(5, 1, 1)",1.0,1.0,1.0
"(0, 3, 1)","(5, 1, 1.5)",1.0,1.0,1.0
"(0, 3, 1)","(5, 1, 2)",0.845,1.0,0.55
"(0, 3, 1)","(5, 3, 1)",1.0,1.0,1.0
"(0, 3, 1)","(5, 3, 1.5)",1.0,1.0,1.0
"(0, 3, 1)","(5, 3, 2)",0.725,1.0,0.545
"(0, 3, 1)","(5, 5, 1)",1.0,1.0,1.0
"(0, 3, 1)","(5, 5, 1.5)",1.0,1.0,1.0
"(0, 3, 1)","(5, 5, 2)",0.58,1.0,0.515
"(0, 3, 1)","(10, 1, 1)",1.0,1.0,1.0
"(0, 3, 1)","(10, 1, 1.5)",1.0,1.0,1.0
"(0, 3, 1)","(10, 1, 2)",1.0,1.0,0.56
"(0, 3, 1)","(10, 3, 1)",1.0,1.0,1.0
"(0, 3, 1)","(10, 3, 1.5)",1.0,1.0,1.0
"(0, 3, 1)","(10, 3, 2)",0.995,1.0,0.685
"(0, 3, 1)","(10, 5, 1)",1.0,1.0,1.0
"(0, 3, 1)","(10, 5, 1.5)",1.0,1.0,1.0
"(0, 3, 1)","(10, 5, 2)",0.94,1.0,0.62
"(0, 3, 1.5)","(0, 3, 2)",0.71,0.985,0.52
"(0, 3, 1.5)","(0, 5, 1)",0.665,0.68,0.675
"(0, 3, 1.5)","(0, 5, 1.5)",0.885,0.885,0.865
"(0, 3, 1.5)","(0, 5, 2)",0.925,0.985,0.635
"(0, 3, 1.5)","(5, 1, 1)",1.0,1.0,1.0
"(0, 3, 1.5)","(5, 1, 1.5)",1.0,1.0,1.0
"(0, 3, 1.5)","(5, 1, 2)",0.775,0.995,0.55
"(0, 3, 1.5)","(5, 3, 1)",1.0,1.0,1.0
"(0, 3, 1.5)","(5, 3, 1.5)",1.0,1.0,1.0
"(0, 3, 1.5)","(5, 3, 2)",0.71,0.99,0.545
"(0, 3, 1.5)","(5, 5, 1)",1.0,1.0,1.0
"(0, 3, 1.5)","(5, 5, 1.5)",0.99,0.99,0.99
"(0, 3, 1.5)","(5, 5, 2)",0.58,0.995,0.515
"(0, 3, 1.5)","(10, 1, 1)",1.0,1.0,1.0
"(0, 3, 1.5)","(10, 1, 1.5)",1.0,1.0,1.0
"(0, 3, 1.5)","(10, 1, 2)",1.0,1.0,0.56
"(0, 3, 1.5)","(10, 3, 1)",1.0,1.0,1.0
"(0, 3, 1.5)","(10, 3, 1.5)",1.0,1.0,1.0
"(0, 3, 1.5)","(10, 3, 2)",0.975,1.0,0.685
"(0, 3, 1.5)","(10, 5, 1)",1.0,1.0,1.0
"(0, 3, 1.5)","(10, 5, 1.5)",1.0,1.0,1.0
"(0, 3, 1.5)","(10, 5, 2)",0.925,1.0,0.62
"(0, 3, 2)","(0, 5, 1)",0.72,1.0,0.52
"(0, 3, 2)","(0, 5, 1.5)",0.685,0.95,0.52
"(0, 3, 2)","(0, 5, 2)",0.575,0.55,0.505
"(0, 3, 2)","(5, 1, 1)",0.735,1.0,0.52
"(0, 3, 2)","(5, 1, 1.5)",0.735,1.0,0.52
"(0, 3, 2)","(5, 1, 2)",0.6,0.775,0.505
"(0, 3, 2)","(5, 3, 1)",0.735,1.0,0.52
"(0, 3, 2)","(5, 3, 1.5)",0.715,0.995,0.52
"(0, 3, 2)","(5, 3, 2)",0.52,0.51,0.505
"(0, 3, 2)","(5, 5, 1)",0.715,1.0,0.52
"(0, 3, 2)","(5, 5, 1.5)",0.7,0.97,0.52
"(0, 3, 2)","(5, 5, 2)",0.545,0.62,0.505
"(0, 3, 2)","(10, 1, 1)",0.74,1.0,0.52
"(0, 3, 2)","(10, 1, 1.5)",0.735,1.0,0.52
"(0, 3, 2)","(10, 1, 2)",0.59,0.87,0.51
"(0, 3, 2)","(10, 3, 1)",0.735,1.0,0.52
"(0, 3, 2)","(10, 3, 1.5)",0.715,1.0,0.52
"(0, 3, 2)","(10, 3, 2)",0.56,0.765,0.51
"(0, 3, 2)","(10, 5, 1)",0.72,1.0,0.52
"(0, 3, 2)","(10, 5, 1.5)",0.7,1.0,0.52
"(0, 3, 2)","(10, 5, 2)",0.575,0.705,0.505
"(0, 5, 1)","(0, 5, 1.5)",0.985,0.985,0.98
"(0, 5, 1)","(0, 5, 2)",0.935,1.0,0.635
"(0, 5, 1)","(5, 1, 1)",1.0,1.0,1.0
"(0, 5, 1)","(5, 1, 1.5)",1.0,1.0,1.0
"(0, 5, 1)","(5, 1, 2)",0.83,1.0,0.55
"(0, 5, 1)","(5, 3, 1)",1.0,1.0,1.0
"(0, 5, 1)","(5, 3, 1.5)",1.0,1.0,1.0
"(0, 5, 1)","(5, 3, 2)",0.71,1.0,0.545
"(0, 5, 1)","(5, 5, 1)",1.0,1.0,1.0
"(0, 5, 1)","(5, 5, 1.5)",1.0,1.0,1.0
"(0, 5, 1)","(5, 5, 2)",0.58,1.0,0.515
"(0, 5, 1)","(10, 1, 1)",1.0,1.0,1.0
"(0, 5, 1)","(10, 1, 1.5)",1.0,1.0,1.0
"(0, 5, 1)","(10, 1, 2)",1.0,1.0,0.56
"(0, 5, 1)","(10, 3, 1)",1.0,1.0,1.0
"(0, 5, 1)","(10, 3, 1.5)",1.0,1.0,1.0
"(0, 5, 1)","(10, 3, 2)",0.99,1.0,0.685
"(0, 5, 1)","(10, 5, 1)",1.0,1.0,1.0
"(0, 5, 1)","(10, 5, 1.5)",1.0,1.0,1.0
"(0, 5, 1)","(10, 5, 2)",0.93,1.0,0.62
"(0, 5, 1.5)","(0, 5, 2)",0.895,0.965,0.635
"(0, 5, 1.5)","(5, 1, 1)",1.0,1.0,1.0
"(0, 5, 1.5)","(5, 1, 1.5)",1.0,1.0,1.0
"(0, 5, 1.5)","(5, 1, 2)",0.73,0.98,0.55
"(0, 5, 1.5)","(5, 3, 1)",1.0,1.0,1.0
"(0, 5, 1.5)","(5, 3, 1.5)",0.995,0.995,0.995
"(0, 5, 1.5)","(5, 3, 2)",0.69,0.98,0.545
"(0, 5, 1.5)","(5, 5, 1)",1.0,1.0,1.0
"(0, 5, 1.5)","(5, 5, 1.5)",0.98,0.98,0.97
"(0, 5, 1.5)","(5, 5, 2)",0.575,0.985,0.515
"(0, 5, 1.5)","(10, 1, 1)",1.0,1.0,1.0
"(0, 5, 1.5)","(10, 1, 1.5)",1.0,1.0,1.0
"(0, 5, 1.5)","(10, 1, 2)",1.0,1.0,0.56
"(0, 5, 1.5)","(10, 3, 1)",1.0,1.0,1.0
"(0, 5, 1.5)","(10, 3, 1.5)",1.0,1.0,1.0
"(0, 5, 1.5)","(10, 3, 2)",0.96,1.0,0.685
"(0, 5, 1.5)","(10, 5, 1)",1.0,1.0,1.0
"(0, 5, 1.5)","(10, 5, 1.5)",1.0,1.0,1.0
"(0, 5, 1.5)","(10, 5, 2)",0.89,1.0,0.62
"(0, 5, 2)","(5, 1, 1)",0.96,1.0,0.635
"(0, 5, 2)","(5, 1, 1.5)",0.945,1.0,0.635
"(0, 5, 2)","(5, 1, 2)",0.755,0.77,0.555
"(0, 5, 2)","(5, 3, 1)",0.94,1.0,0.635
"(0, 5, 2)","(5, 3, 1.5)",0.93,0.995,0.635
"(0, 5, 2)","(5, 3, 2)",0.565,0.515,0.525
"(0, 5, 2)","(5, 5, 1)",0.935,1.0,0.635
"(0, 5, 2)","(5, 5, 1.5)",0.9,0.985,0.635
"(0, 5, 2)","(5, 5, 2)",0.53,0.54,0.5
"(0, 5, 2)","(10, 1, 1)",0.965,1.0,0.635
"(0, 5, 2)","(10, 1, 1.5)",0.96,1.0,0.635
"(0, 5, 2)","(10, 1, 2)",0.78,0.865,0.505
"(0, 5, 2)","(10, 3, 1)",0.96,1.0,0.635
"(0, 5, 2)","(10, 3, 1.5)",0.94,1.0,0.635
"(0, 5, 2)","(10, 3, 2)",0.6,0.655,0.505
"(0, 5, 2)","(10, 5, 1)",0.94,1.0,0.635
"(0, 5, 2)","(10, 5, 1.5)",0.915,1.0,0.635
"(0, 5, 2)","(10, 5, 2)",0.56,0.51,0.51
"(5, 1, 1)","(5, 1, 1.5)",0.98,0.985,0.98
"(5, 1, 1)","(5, 1, 2)",0.835,1.0,0.55
"(5, 1, 1)","(5, 3, 1)",1.0,1.0,1.0
"(5, 1, 1)","(5, 3, 1.5)",1.0,1.0,1.0
"(5, 1, 1)","(5, 3, 2)",0.755,1.0,0.545
"(5, 1, 1)","(5, 5, 1)",1.0,1.0,1.0
"(5, 1, 1)","(5, 5, 1.5)",1.0,1.0,1.0
"(5, 1, 1)","(5, 5, 2)",0.59,1.0,0.515
"(5, 1, 1)","(10, 1, 1)",1.0,1.0,1.0
"(5, 1, 1)","(10, 1, 1.5)",1.0,1.0,1.0
"(5, 1, 1)","(10, 1, 2)",0.815,1.0,0.56
"(5, 1, 1)","(10, 3, 1)",1.0,1.0,1.0
"(5, 1, 1)","(10, 3, 1.5)",1.0,1.0,1.0
"(5, 1, 1)","(10, 3, 2)",0.99,1.0,0.685
"(5, 1, 1)","(10, 5, 1)",1.0,1.0,1.0
"(5, 1, 1)","(10, 5, 1.5)",1.0,1.0,1.0
"(5, 1, 1)","(10, 5, 2)",0.94,1.0,0.62
"(5, 1, 1.5)","(5, 1, 2)",0.8,0.98,0.55
"(5, 1, 1.5)","(5, 3, 1)",0.955,0.96,0.955
"(5, 1, 1.5)","(5, 3, 1.5)",0.995,0.995,0.995
"(5, 1, 1.5)","(5, 3, 2)",0.745,1.0,0.545
"(5, 1, 1.5)","(5, 5, 1)",0.995,0.99,0.99
"(5, 1, 1.5)","(5, 5, 1.5)",1.0,1.0,1.0
"(5, 1, 1.5)","(5, 5, 2)",0.58,1.0,0.515
"(5, 1, 1.5)","(10, 1, 1)",1.0,1.0,1.0
"(5, 1, 1.5)","(10, 1, 1.5)",1.0,1.0,1.0
"(5, 1, 1.5)","(10, 1, 2)",0.765,1.0,0.56
"(5, 1, 1.5)","(10, 3, 1)",1.0,1.0,1.0
"(5, 1, 1.5)","(10, 3, 1.5)",1.0,1.0,1.0
"(5, 1, 1.5)","(10, 3, 2)",0.985,1.0,0.685
"(5, 1, 1.5)","(10, 5, 1)",1.0,1.0,1.0
"(5, 1, 1.5)","(10, 5, 1.5)",1.0,1.0,1.0
"(5, 1, 1.5)","(10, 5, 2)",0.94,1.0,0.62
"(5, 1, 2)","(5, 3, 1)",0.78,0.975,0.55
"(5, 1, 2)","(5, 3, 1.5)",0.725,0.82,0.55
"(5, 1, 2)","(5, 3, 2)",0.61,0.635,0.525
"(5, 1, 2)","(5, 5, 1)",0.74,0.89,0.55
"(5, 1, 2)","(5, 5, 1.5)",0.655,0.71,0.55
"(5, 1, 2)","(5, 5, 2)",0.57,0.785,0.515
"(5, 1, 2)","(10, 1, 1)",0.915,1.0,0.55
"(5, 1, 2)","(10, 1, 1.5)",0.89,1.0,0.55
"(5, 1, 2)","(10, 1, 2)",0.535,0.625,0.51
"(5, 1, 2)","(10, 3, 1)",0.84,1.0,0.55
"(5, 1, 2)","(10, 3, 1.5)",0.78,0.995,0.55
"(5, 1, 2)","(10, 3, 2)",0.75,0.81,0.51
"(5, 1, 2)","(10, 5, 1)",0.785,1.0,0.55
"(5, 1, 2)","(10, 5, 1.5)",0.685,0.975,0.55
"(5, 1, 2)","(10, 5, 2)",0.775,0.77,0.52
"(5, 3, 1)","(5, 3, 1.5)",0.975,0.985,0.985
"(5, 3, 1)","(5, 3, 2)",0.72,1.0,0.545
"(5, 3, 1)","(5, 5, 1)",0.995,0.995,0.995
"(5, 3, 1)","(5, 5, 1.5)",1.0,1.0,1.0
"(5, 3, 1)","(5, 5, 2)",0.58,1.0,0.515
"(5, 3, 1)","(10, 1, 1)",1.0,1.0,1.0
"(5, 3, 1)","(10, 1, 1.5)",1.0,1.0,1.0
"(5, 3, 1)","(10, 1, 2)",0.74,1.0,0.56
"(5, 3, 1)","(10, 3, 1)",1.0,1.0,1.0
"(5, 3, 1)","(10, 3, 1.5)",1.0,1.0,1.0
"(5, 3, 1)","(10, 3, 2)",0.975,1.0,0.685
"(5, 3, 1)","(10, 5, 1)",1.0,1.0,1.0
"(5, 3, 1)","(10, 5, 1.5)",1.0,1.0,1.0
"(5, 3, 1)","(10, 5, 2)",0.93,1.0,0.62
"(5, 3, 1.5)","(5, 3, 2)",0.71,0.97,0.545
"(5, 3, 1.5)","(5, 5, 1)",0.67,0.63,0.6
"(5, 3, 1.5)","(5, 5, 1.5)",0.89,0.88,0.89
"(5, 3, 1.5)","(5, 5, 2)",0.58,1.0,0.515
"(5, 3, 1.5)","(10, 1, 1)",1.0,1.0,1.0
"(5, 3, 1.5)","(10, 1, 1.5)",1.0,1.0,1.0
"(5, 3, 1.5)","(10, 1, 2)",0.695,1.0,0.56
"(5, 3, 1.5)","(10, 3, 1)",1.0,1.0,1.0
"(5, 3, 1.5)","(10, 3, 1.5)",1.0,1.0,1.0
"(5, 3, 1.5)","(10, 3, 2)",0.95,1.0,0.685
"(5, 3, 1.5)","(10, 5, 1)",1.0,1.0,1.0
"(5, 3, 1.5)","(10, 5, 1.5)",1.0,1.0,1.0
"(5, 3, 1.5)","(10, 5, 2)",0.91,1.0,0.62
"(5, 3, 2)","(5, 5, 1)",0.71,1.0,0.545
"(5, 3, 2)","(5, 5, 1.5)",0.69,0.92,0.545
"(5, 3, 2)","(5, 5, 2)",0.54,0.54,0.505
"(5, 3, 2)","(10, 1, 1)",0.755,1.0,0.545
"(5, 3, 2)","(10, 1, 1.5)",0.74,1.0,0.545
"(5, 3, 2)","(10, 1, 2)",0.59,0.63,0.515
"(5, 3, 2)","(10, 3, 1)",0.72,1.0,0.545
"(5, 3, 2)","(10, 3, 1.5)",0.71,0.995,0.545
"(5, 3, 2)","(10, 3, 2)",0.525,0.55,0.52
"(5, 3, 2)","(10, 5, 1)",0.71,1.0,0.545
"(5, 3, 2)","(10, 5, 1.5)",0.695,0.96,0.545
"(5, 3, 2)","(10, 5, 2)",0.58,0.515,0.515
"(5, 5, 1)","(5, 5, 1.5)",0.985,1.0,1.0
"(5, 5, 1)","(5, 5, 2)",0.58,1.0,0.515
"(5, 5, 1)","(10, 1, 1)",1.0,1.0,1.0
"(5, 5, 1)","(10, 1, 1.5)",1.0,1.0,1.0
"(5, 5, 1)","(10, 1, 2)",0.7,1.0,0.56
"(5, 5, 1)","(10, 3, 1)",1.0,1.0,1.0
"(5, 5, 1)","(10, 3, 1.5)",1.0,1.0,1.0
"(5, 5, 1)","(10, 3, 2)",0.95,1.0,0.685
"(5, 5, 1)","(10, 5, 1)",1.0,1.0,1.0
"(5, 5, 1)","(10, 5, 1.5)",1.0,1.0,1.0
"(5, 5, 1)","(10, 5, 2)",0.91,1.0,0.62
"(5, 5, 1.5)","(5, 5, 2)",0.575,0.99,0.515
"(5, 5, 1.5)","(10, 1, 1)",1.0,1.0,1.0
"(5, 5, 1.5)","(10, 1, 1.5)",1.0,1.0,1.0
"(5, 5, 1.5)","(10, 1, 2)",0.62,0.965,0.56
"(5, 5, 1.5)","(10, 3, 1)",1.0,1.0,1.0
"(5, 5, 1.5)","(10, 3, 1.5)",0.995,0.99,0.995
"(5, 5, 1.5)","(10, 3, 2)",0.89,0.985,0.685
"(5, 5, 1.5)","(10, 5, 1)",1.0,1.0,1.0
"(5, 5, 1.5)","(10, 5, 1.5)",0.97,0.97,0.97
"(5, 5, 1.5)","(10, 5, 2)",0.88,0.995,0.62
"(5, 5, 2)","(10, 1, 1)",0.59,1.0,0.515
"(5, 5, 2)","(10, 1, 1.5)",0.59,1.0,0.515
"(5, 5, 2)","(10, 1, 2)",0.555,0.71,0.515
"(5, 5, 2)","(10, 3, 1)",0.59,1.0,0.515
"(5, 5, 2)","(10, 3, 1.5)",0.59,1.0,0.515
"(5, 5, 2)","(10, 3, 2)",0.53,0.58,0.515
"(5, 5, 2)","(10, 5, 1)",0.59,1.0,0.515
"(5, 5, 2)","(10, 5, 1.5)",0.575,0.995,0.515
"(5, 5, 2)","(10, 5, 2)",0.515,0.51,0.505
"(10, 1, 1)","(10, 1, 1.5)",0.935,0.975,0.975
"(10, 1, 1)","(10, 1, 2)",0.745,1.0,0.56
"(10, 1, 1)","(10, 3, 1)",1.0,1.0,1.0
"(10, 1, 1)","(10, 3, 1.5)",1.0,1.0,1.0
"(10, 1, 1)","(10, 3, 2)",0.985,1.0,0.685
"(10, 1, 1)","(10, 5, 1)",1.0,1.0,1.0
"(10, 1, 1)","(10, 5, 1.5)",1.0,1.0,1.0
"(10, 1, 1)","(10, 5, 2)",0.94,1.0,0.62
"(10, 1, 1.5)","(10, 1, 2)",0.72,0.975,0.56
"(10, 1, 1.5)","(10, 3, 1)",0.94,0.95,0.945
"(10, 1, 1.5)","(10, 3, 1.5)",0.99,0.99,0.99
"(10, 1, 1.5)","(10, 3, 2)",0.98,1.0,0.685
"(10, 1, 1.5)","(10, 5, 1)",0.99,0.995,0.995
"(10, 1, 1.5)","(10, 5, 1.5)",1.0,1.0,1.0
"(10, 1, 1.5)","(10, 5, 2)",0.93,1.0,0.62
"(10, 1, 2)","(10, 3, 1)",0.695,0.96,0.56
"(10, 1, 2)","(10, 3, 1.5)",0.655,0.8,0.56
"(10, 1, 2)","(10, 3, 2)",0.735,0.57,0.505
"(10, 1, 2)","(10, 5, 1)",0.655,0.86,0.56
"(10, 1, 2)","(10, 5, 1.5)",0.6,0.645,0.56
"(10, 1, 2)","(10, 5, 2)",0.745,0.635,0.51
"(10, 3, 1)","(10, 3, 1.5)",0.96,0.965,0.97
"(10, 3, 1)","(10, 3, 2)",0.955,1.0,0.685
"(10, 3, 1)","(10, 5, 1)",0.995,0.995,0.995
"(10, 3, 1)","(10, 5, 1.5)",1.0,1.0,1.0
"(10, 3, 1)","(10, 5, 2)",0.915,1.0,0.62
"(10, 3, 1.5)","(10, 3, 2)",0.925,0.995,0.685
"(10, 3, 1.5)","(10, 5, 1)",0.62,0.62,0.65
"(10, 3, 1.5)","(10, 5, 1.5)",0.88,0.875,0.875
"(10, 3, 1.5)","(10, 5, 2)",0.91,1.0,0.62
"(10, 3, 2)","(10, 5, 1)",0.935,1.0,0.685
"(10, 3, 2)","(10, 5, 1.5)",0.865,0.945,0.685
"(10, 3, 2)","(10, 5, 2)",0.54,0.52,0.51
"(10, 5, 1)","(10, 5, 1.5)",0.97,0.965,0.965
"(10, 5, 1)","(10, 5, 2)",0.91,1.0,0.62
